id,list,asclass,new
1,1000000,H,1491706
2,440550,AB,1274702
3,141386,Q,141386
4,519970,I,827970
5,132737,F,468347
6,190000,U,633683
7,388245,S,3154103
8,122100,D,270611
9,456236,E,676236
10,917741,O,917741
11,747604,B,747604
12,503492,AC,2063492
13,366654,X,949654
14,411675,L,411675
15,169378,A,546774
16,4211812,G,5183512
17,876834,N,2296834
18,900000,R,1782322
19,671031,K,1071200
20,1000000,AA,4194096
21,372900,M,734657
22,359263,W,1172263
23,400169,K,1071200
24,917301,,0
25,335610,F,468347
26,1420000,N,2296834
27,220000,E,676236
28,1094096,AA,4194096
29,619520,S,3154103
30,450000,R,1782322
31,308000,I,827970
32,173830,A,546774
33,236830,U,633683
34,1500000,S,3154103
35,432322,R,1782322
36,813000,W,1172263
37,203566,A,546774
38,206853,U,633683
39,491706,H,1491706
40,361757,M,734657
41,646338,S,3154103
42,2100000,AA,4194096
43,971700,G,5183512
44,583000,X,949654
45,834152,AB,1274702
46,148511,D,270611
47,1560000,AC,2063492
