,id,list,asclass,new
0,1,1000000,H,4184949.0
1,2,440550,H,4184949.0
2,3,141386,,
3,4,519970,J,2056441.0
4,5,132737,H,4184949.0
5,6,190000,E,954533.0
6,7,388245,R,1768975.0
7,8,122100,B,726000.0
8,9,456236,,
9,10,917741,N,2327702.0
10,11,747604,N,2327702.0
11,12,503492,M,692926.0
12,13,366654,,
13,14,411675,H,4184949.0
14,15,169378,O,919251.0
15,16,4211812,,
16,17,876834,H,4184949.0
17,18,900000,,
18,19,671031,,
19,20,1000000,,
20,21,372900,N,2327702.0
21,22,359263,,
22,23,400169,,
23,24,917301,H,4184949.0
24,25,335610,E,954533.0
25,26,1420000,R,1768975.0
26,27,220000,J,2056441.0
27,28,1094096,,
28,29,619520,,
29,30,450000,,
30,31,308000,N,2327702.0
31,32,173830,O,919251.0
32,33,236830,,
33,34,1500000,,
34,35,432322,E,954533.0
35,36,813000,D,1172698.0
36,37,203566,H,4184949.0
37,38,206853,H,4184949.0
38,39,491706,J,2056441.0
39,40,361757,D,1172698.0
40,41,646338,B,726000.0
41,42,2100000,,
42,43,971700,,
43,44,583000,O,919251.0
44,45,834152,J,2056441.0
45,46,148511,M,692926.0
46,47,1560000,,
